Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count
30,14,black,Black,0.465,-0.535,-0.0067511946,0.16639638,-0.45597547,0.20962553,2.904896,2.5200543,1,3,0,1,0,0
31,12,black,Black,0.47,-0.53,-0.08532332,0.17367876,-0.15309337,0.28919354,2.7986205,2.6198664,2,3,0,0,0,0
32,9,white,Black,-0.525,0.48,-0.13215563,0.048957657,-0.29372692,0.03505895,2.8452835,2.8527746,3,2,0,0,0,0
33,10,black,Black,0.975,-1.025,-0.02251044,0.81390315,-0.6176145,0.750085,2.815239,2.7879252,1,3,0,0,0,0
34,6,black,Black,1.485,-1.515,-0.18183486,1.1006118,-0.52917075,1.1161336,3.170185,2.7738526,0,3,0,0,0,0
35,6,black,Black,0.485,-0.515,-0.3066777,0.29376927,-0.4942953,0.4547156,2.6899872,2.8253367,2,3,0,0,0,0
36,7,white,Black,-0.52,0.485,-0.13219348,0.009464837,0.27609187,0.016276361,2.518714,3.0277283,3,2,0,0,0,0
37,6,black,Black,0.485,-0.515,0.18196921,0.22658993,-0.5452153,0.37168574,2.943189,2.7081835,2,3,0,0,0,0
38,24,black,Black,0.44,-0.56,-0.32928035,0.42750236,-0.20473534,0.45973587,2.4362676,3.0167534,1,3,0,1,0,0
39,8,black,Black,0.98,-1.02,0.03160411,0.72168046,-0.08269061,0.68268645,2.8888679,2.887074,1,3,0,0,0,0
40,5,white,Black,-1.015,0.99,-0.45998025,0.16371971,0.46842453,0.08905783,2.7294369,3.0632668,3,1,0,0,0,0
41,5,white,Black,-1.015,0.99,-0.11408449,0.18666677,0.09951833,0.0987466,2.7148638,3.0956905,3,1,0,0,0,0
42,8,black,Black,1.48,-1.52,-0.20905441,0.9694159,-0.56020695,0.8941399,3.057977,2.7365804,0,3,0,0,0,0
43,16,black,Black,0.46,-0.54,-0.08723883,0.23047298,-0.24637191,0.2340215,2.8821666,2.7544103,2,3,0,0,0,0
44,8,black,Black,0.98,-1.02,-0.7685283,0.709165,0.386861,0.6767092,3.118915,2.986825,1,3,0,0,0,0
45,5,white,Black,-1.015,0.99,0.34076524,0.28941214,0.371176,0.12834486,2.817088,3.1147408,3,1,0,0,0,0
46,7,white,Black,-0.52,0.485,-0.27397197,0.11703831,-0.5498992,0.06626999,2.75138,2.7183197,3,2,0,0,0,0
47,5,white,Black,-0.515,0.49,-0.10298014,0.14046757,0.077745214,0.06861632,2.8068638,3.0562801,3,2,0,0,0,0
48,14,black,Black,0.465,-0.535,-0.29506493,0.14408538,-0.071978316,0.14022507,2.7079444,2.7251287,2,3,0,0,0,0
49,10,black,Black,0.475,-0.525,-0.077655554,0.21107206,-0.80533737,0.20415851,2.833599,2.7571878,2,3,0,0,0,0
50,6,black,Black,0.485,-0.515,0.020737305,0.14169757,-0.5769261,0.24350752,2.737788,2.8405457,2,3,0,0,0,0
51,5,white,Black,-1.515,1.49,-0.73453635,0.6403286,0.15795983,0.53043133,2.7690315,3.0920453,3,0,0,0,0,0
52,7,white,Black,-1.02,0.985,-0.592186,0.4460755,-0.21168724,0.48989853,2.783842,2.9880886,3,1,0,0,0,0
53,6,black,Black,0.985,-1.015,0.17825417,0.57094026,-0.398625,0.47808257,2.9799051,2.7905262,1,2,1,0,0,0
54,8,black,Black,0.48,-0.52,0.032638684,0.06950265,-0.307294,0.0685506,3.0337296,2.6776104,2,3,0,0,0,0
55,19,white,Black,-0.55,0.455,-0.3327,0.26908427,-0.42348763,0.3432064,3.021384,2.521581,3,2,0,0,0,0
56,14,black,Black,0.465,-0.535,-0.12251069,0.15441248,-0.7152028,0.25214607,2.508569,2.6638887,2,3,0,0,0,0
57,13,white,Black,-0.535,0.47,0.04162374,0.09889396,-0.107082605,0.089104496,2.923027,3.1786778,3,2,0,0,0,0
58,5,white,Black,-1.515,1.49,-0.5829693,0.65012735,-0.24991508,0.5760368,2.7794707,3.304862,3,0,0,0,0,0
59,11,white,Black,-1.03,0.975,-0.7569493,0.33454028,0.10215017,0.36178142,2.4817426,3.0468338,3,1,0,0,0,0
60,10,black,Black,0.975,-1.025,-0.57579607,0.36408868,-0.41381142,0.2836762,3.1714256,2.7650576,1,3,0,0,0,0
61,18,black,Black,0.955,-1.045,-0.14003883,0.28590614,-0.28285778,0.20686577,3.0519814,2.5830803,1,3,0,0,0,0
62,12,black,Black,0.97,-1.03,-0.30209285,0.4670715,-0.4494612,0.37024868,2.8202896,2.7087777,1,3,0,0,0,0
63,10,black,Black,0.475,-0.525,-0.15058076,0.103407,-0.35895255,0.08776499,2.8627906,2.952786,2,3,0,0,0,0
64,13,white,Black,-1.035,0.97,-0.65198725,0.4070782,-0.17269233,0.55202085,2.7744844,3.0719776,3,1,0,0,0,0
65,10,black,Black,0.975,-1.025,0.42609566,0.3678081,-0.5888797,0.23889,3.039206,2.733337,1,3,0,0,0,0
66,8,black,Black,0.98,-1.02,0.081598625,0.40884376,-0.33981228,0.31135044,2.936931,2.795455,1,3,0,0,0,0
67,15,white,Black,-0.54,0.465,-0.28741083,0.19467098,-0.34491557,0.19384639,2.3653502,2.587584,3,2,0,0,0,0
68,13,white,Black,-1.035,0.97,-0.02220738,0.45893055,-0.28611976,0.464451,2.8566546,3.2691867,3,1,0,0,0,0
69,8,black,Black,0.48,-0.52,0.14267802,0.08373805,-0.5978577,0.07672344,2.9889822,2.955965,2,3,0,0,0,0
70,11,white,Black,-0.53,0.475,-0.3101741,0.114664294,0.18018694,0.109782755,2.4586737,3.1388745,3,2,0,0,0,0
71,11,white,Black,-1.03,0.975,-0.2923461,0.2659671,-0.11856539,0.23366658,2.4010088,3.137134,3,1,0,0,0,0
72,11,white,Black,-0.53,0.475,-0.39661145,0.18261819,-0.21520135,0.30588394,2.9192228,2.9618964,3,2,0,0,0,0
73,12,black,Black,0.97,-1.03,-0.12754866,0.31344345,-0.2012646,0.144189,2.9810674,2.8566644,1,3,0,0,0,0
74,11,white,Black,-0.53,0.475,0.35894465,0.20400655,-0.2783294,0.18369624,2.7227871,2.7898574,3,2,0,0,0,0
75,10,black,Black,0.975,-1.025,-0.05748842,0.27991813,-0.4509011,0.1448601,3.1203914,2.8577685,1,3,0,0,0,0
76,5,white,Black,-1.015,0.99,-0.15886644,0.35671985,0.35367206,0.20946081,2.7999456,3.2685368,3,1,0,0,0,0
77,5,white,Black,-1.515,1.49,-0.50162387,0.6955452,0.053475216,0.57662785,2.7896245,3.1970937,3,0,0,0,0,0
78,7,white,Black,-0.52,0.485,-0.26042914,0.20149463,-0.14415793,0.30110535,2.8146536,2.8161676,3,2,0,0,0,0
79,6,black,Black,0.985,-1.015,0.13210903,0.35536766,-0.601938,0.19369304,3.1775734,2.7732813,1,3,0,0,0,0
80,10,black,Black,0.475,-0.525,0.13701354,0.038994912,-0.3919744,0.026800076,3.1459293,2.6453369,2,3,0,0,0,0
81,10,black,Black,0.475,-0.525,-0.30210817,0.061435282,-0.33596092,0.07547066,3.093305,2.7488978,2,3,0,0,0,0
82,6,black,Black,0.985,-1.015,-0.10107739,0.343107,-0.5153557,0.24876086,2.9853802,2.7676134,1,3,0,0,0,0
83,10,black,Black,0.975,-1.025,-0.10447272,0.3547918,-0.65727675,0.23870322,3.0847259,2.9163754,1,2,1,0,0,0
84,10,black,Black,0.975,-1.025,-0.41529727,0.36489952,-0.5081585,0.3417066,2.9355595,2.937428,1,3,0,0,0,0
85,9,white,Black,-1.025,0.98,-0.7845213,0.5389358,-0.013672844,0.56370634,2.810261,2.9292133,3,1,0,0,0,0
86,11,white,Black,-1.03,0.975,-0.3341672,0.25248727,-0.091318645,0.25846368,2.352431,3.0008342,3,1,0,0,0,0
87,14,black,Black,0.465,-0.535,-0.4238901,0.054904018,-0.05833809,0.05415251,2.9813352,2.7536614,2,3,0,0,0,0
88,9,white,Black,-1.025,0.98,-0.48462763,0.47059423,0.42985982,0.38078612,2.7864032,3.0546136,3,1,0,0,0,0
89,20,black,Black,0.45,-0.55,-0.37442303,0.018220678,-0.22480989,0.030562598,3.0802197,2.6155133,2,3,0,0,0,0
90,5,white,Black,-0.515,0.49,-0.14054994,0.19517072,-0.52692604,0.04874598,2.746896,2.8882594,3,2,0,0,0,0
91,9,white,Black,-1.025,0.98,-0.9873,0.44150606,0.06771338,0.52732146,2.6308985,3.0145717,3,1,0,0,0,0
92,19,white,Black,-0.55,0.455,-0.27561417,0.32135916,-0.33810237,0.41945717,3.0092373,2.6064732,3,2,0,0,0,0
93,11,white,Black,-1.03,0.975,-0.50696987,0.39843443,0.10265739,0.4300744,2.8866432,3.1308708,3,1,0,0,0,0
94,5,white,Black,-0.515,0.49,0.3615589,0.1501122,-0.27697423,0.014365509,2.7469475,3.0271273,3,2,0,0,0,0
95,11,white,Black,-0.53,0.475,-0.71895325,0.10556522,-0.3266234,0.14725606,2.4583342,2.5346508,3,2,0,0,0,0
96,11,white,Black,-1.03,0.975,-0.8100622,0.25497746,0.017902061,0.26940575,2.609472,3.1214433,2,1,0,1,0,0
97,7,white,Black,-0.52,0.485,0.16978966,0.10533647,0.27372476,0.059812933,2.8357644,3.1091583,3,2,0,0,0,0
98,7,white,Black,-1.52,1.485,-0.2056618,0.571512,-0.11804253,0.5945093,2.8755932,3.251201,3,0,0,0,0,0
99,5,white,Black,-1.015,0.99,0.28996193,0.17440307,0.0888048,0.06417564,2.7713816,3.3280358,3,1,0,0,0,0
100,7,white,Black,-1.52,1.485,-0.85365134,0.55608743,-0.357138,0.5026297,2.7885208,3.262307,3,0,0,0,0,0
101,12,black,Black,0.97,-1.03,-0.40425146,0.50795937,-0.6622632,0.30099002,3.126587,2.9059937,1,3,0,0,0,0
102,6,black,Black,1.485,-1.515,-0.2880556,0.96514446,-0.7078982,0.8558951,3.239382,2.7354393,0,3,0,0,0,0
103,5,white,Black,-1.015,0.99,-1.1338478,0.082282454,-0.3547296,0.026185127,2.6458476,3.4066286,3,1,0,0,0,0
104,12,black,Black,0.97,-1.03,-0.22906944,0.71903485,-0.67040604,0.6911447,3.02867,2.879268,1,3,0,0,0,0
105,5,white,Black,-1.015,0.99,-0.4622122,0.058508124,0.17454208,0.03043235,2.6725104,3.2560606,3,1,0,0,0,0
106,7,white,Black,-1.02,0.985,-0.58724034,0.19292465,0.14315663,0.24651802,2.8778796,2.942886,3,1,0,0,0,0
107,7,white,Black,-1.02,0.985,-0.42416662,0.04819017,-0.33658674,0.030651802,2.6963997,3.0198212,3,1,0,0,0,0
108,14,black,Black,0.465,-0.535,-0.11097735,0.323913,-0.16047189,0.18698223,3.1677525,2.9584033,2,3,0,0,0,0
109,11,white,Black,-1.03,0.975,-0.8039454,0.104519665,-0.021495417,0.1477271,2.4565418,3.065059,3,1,0,0,0,0
110,11,white,Black,-1.03,0.975,-0.2722429,0.09824387,0.10386442,0.18925576,2.9412231,3.1318078,3,1,0,0,0,0
111,15,white,Black,-0.54,0.465,-0.4292814,0.07795741,-0.5112225,0.1552646,3.0311527,2.7307472,3,2,0,0,0,0
112,7,white,Black,-0.52,0.485,0.55038285,0.005253803,-0.22732626,0.05921887,2.8321795,3.0671854,3,2,0,0,0,0
113,8,black,Black,0.48,-0.52,-0.4147181,0.7915962,-0.7015382,0.81941235,2.455501,2.9777708,2,3,0,0,0,0
114,12,black,Black,0.47,-0.53,-0.027975671,0.37866485,-0.061262384,0.3364899,2.9103556,2.9166987,2,3,0,0,0,0
115,5,white,Black,-1.015,0.99,-0.7807518,0.027561583,-0.2643652,0.02156404,2.5894625,2.9490323,3,1,0,0,0,0
116,12,black,Black,0.47,-0.53,-0.32739377,0.4793651,-0.063885964,0.30078566,2.9582636,2.876209,2,2,1,0,0,0
117,5,white,Black,-1.015,0.99,-0.20478722,0.013324514,-0.15901344,0.035270367,2.7795923,3.4554563,3,1,0,0,0,0
118,7,white,Black,-0.52,0.485,-0.30445993,0.037152372,0.231663,0.06609894,2.6637418,3.1571128,3,2,0,0,0,0
119,5,white,Black,-0.515,0.49,-0.0012411624,0.0104696965,-0.26565367,0.06801131,2.7512398,2.992128,3,2,0,0,0,0
120,7,white,Black,-0.52,0.485,0.067785695,0.019202266,-0.18351041,0.04728354,2.6967926,2.8110056,3,2,0,0,0,0
121,7,white,Black,-1.02,0.985,-0.6246288,0.024249401,0.10050245,0.0156060355,2.492548,3.299364,3,1,0,0,0,0
122,9,white,Black,-0.525,0.48,-0.4087898,0.018408358,-0.049300566,0.05464891,2.917172,3.016924,3,2,0,0,0,0
123,7,white,Black,-1.02,0.985,-0.049571797,0.056274354,-0.09475605,0.0925707,2.8142333,3.1299155,3,1,0,0,0,0
124,9,white,Black,-0.525,0.48,0.026054382,0.0070401356,-0.49162793,0.039217792,2.6452813,2.6631017,3,2,0,0,0,0
125,5,white,Black,-1.515,1.49,-0.40519583,0.114446364,-0.6542738,0.13649054,2.73932,3.4739435,3,0,0,0,0,0
126,5,white,Black,-1.515,1.49,-0.65096164,0.13063167,-0.052874684,0.12209147,2.688669,3.4744406,3,0,0,0,0,0
127,10,black,Black,0.475,-0.525,-0.22531575,0.25789335,-0.15920062,0.13365516,3.1077797,2.6361547,2,3,0,0,0,0
128,8,black,Black,0.48,-0.52,0.123763084,0.47551343,-0.27579355,0.30886117,2.8516698,2.7039354,2,3,0,0,0,0
129,15,white,Black,-1.04,0.965,-0.3711059,0.038590226,-0.119191244,0.11172134,2.7264895,3.0716476,3,1,0,0,0,0
130,8,black,Black,0.48,-0.52,-0.42942488,0.6749457,-0.53497565,0.6835907,2.4461567,2.8307831,2,3,0,0,0,0
131,7,white,Black,-0.52,0.485,-0.027647495,0.010177887,-0.8068303,0.026357934,2.7237415,2.8046882,3,2,0,0,0,0
132,7,white,Black,-1.02,0.985,-0.20033382,0.007976849,-0.13739921,0.01579287,2.790832,3.4106195,3,1,0,0,0,0
133,10,white,Black,-1.025,0.975,-0.38335043,0.04087965,-0.08252512,0.10407921,2.6603665,3.075353,2,1,0,1,0,0
134,17,white,Black,-0.545,0.46,-0.492909,0.0424406,-0.06253417,0.040289775,2.7084048,2.9714622,3,2,0,0,0,0
135,11,white,Black,-1.53,1.475,-0.7103979,0.15047228,0.0100867,0.25965077,2.7469158,3.3007188,3,0,0,0,0,0
136,8,black,Black,0.98,-1.02,-0.008166909,0.88295704,-0.50821364,0.6418354,3.0318022,2.9173474,1,3,0,0,0,0
137,14,black,Black,0.465,-0.535,0.03347189,0.7473791,-0.3001439,0.7412259,2.2775478,2.9191012,2,3,0,0,0,0
138,11,white,Black,-0.53,0.475,-0.15251367,0.021636568,-0.38858807,0.034148525,2.8440173,3.1774182,3,2,0,0,0,0
139,8,black,Black,1.48,-1.52,-0.11904907,1.1046777,-0.50719476,0.9126583,3.2719755,2.7028937,0,3,0,0,0,0
140,5,white,Black,-1.515,1.49,-1.1609662,0.13545154,0.26963723,0.115753725,2.6796796,3.1860871,3,0,0,0,0,0
141,10,black,Black,0.475,-0.525,0.12192635,0.31832403,-0.023170076,0.2504845,2.928305,2.8187585,2,3,0,0,0,0
142,9,white,Black,-1.025,0.98,-0.16588694,0.041060604,-0.27741522,0.06744428,2.7924018,3.3130085,3,1,0,0,0,0
143,5,white,Black,-1.515,1.49,-0.415635,0.12924507,0.15384245,0.12278314,2.7074535,3.1927109,3,0,0,0,0,0
144,6,black,Black,1.485,-1.515,-0.2868137,1.1311232,-0.42888308,0.9307783,3.10766,2.8405936,0,3,0,0,0,0
145,15,white,Black,-1.04,0.965,-0.2708654,0.012261552,-0.107185856,0.073856555,2.2380857,3.212267,3,1,0,0,0,0
146,8,black,Black,0.98,-1.02,0.03469959,0.64823663,-0.14067563,0.47566754,3.1076317,2.6136916,1,3,0,0,0,0
147,8,black,Black,0.48,-0.52,0.14358214,0.26529953,-0.3991633,0.22411317,2.8665571,2.699481,2,3,0,0,0,0
148,13,white,Black,-0.535,0.47,-0.091389865,0.089359514,-0.5920019,0.09032295,2.6356506,3.1201477,3,2,0,0,0,0
149,9,white,Black,-0.525,0.48,-0.0933462,0.09065448,-0.03311865,0.06896968,2.8574538,2.8258533,3,2,0,0,0,0
150,14,black,Black,0.965,-1.035,-0.2530933,0.7046851,-0.7228064,0.52668613,3.1312752,3.029909,1,3,0,0,0,0
151,6,black,Black,0.485,-0.515,-0.26144168,0.34366003,-0.5047188,0.4104779,2.9689224,2.854781,2,3,0,0,0,0
152,13,white,Black,-1.035,0.97,0.4918464,0.089692116,-0.22156925,0.068994164,2.420737,3.1918182,3,1,0,0,0,0
153,5,white,Black,-1.515,1.49,-0.4647047,0.31571046,-0.15381746,0.3869781,2.823144,3.3745227,3,0,0,0,0,0
154,5,white,Black,-1.015,0.99,-0.30968535,0.049610425,-0.057720333,0.013615206,2.7644024,3.338757,3,1,0,0,0,0
155,9,white,Black,-1.025,0.98,-0.06437834,0.1346903,0.06664351,0.16472217,2.8704972,3.192448,3,1,0,0,0,0
156,11,white,Black,-0.53,0.475,0.25417113,0.024527213,-0.37128282,0.06577572,2.4343224,2.8084927,3,2,0,0,0,0
157,12,black,Black,0.47,-0.53,-0.43516552,0.7075011,-0.39329895,0.7763782,2.6680439,3.1588047,2,3,0,0,0,0
158,11,white,Black,-0.53,0.475,-0.39894614,0.19164507,-0.17422377,0.21976463,2.9117954,2.5643218,3,2,0,0,0,0
159,7,white,Black,-1.02,0.985,-0.2437628,0.21617788,0.22830099,0.2757684,2.7313871,2.8844814,3,1,0,0,0,0
160,6,black,Black,0.985,-1.015,-0.30698723,0.5475936,-0.5328814,0.49304977,2.9731407,2.8247688,1,3,0,0,0,0
161,13,white,Black,-1.035,0.97,-0.22641805,0.03543568,-0.3576643,0.024201134,2.7701547,3.4326317,3,1,0,0,0,0
162,10,black,Black,0.975,-1.025,-0.34052843,0.5414189,-0.40214133,0.43703502,3.082922,2.8284168,1,3,0,0,0,0
163,12,black,Black,0.47,-0.53,0.035892457,0.52228576,-0.3197065,0.52795684,2.7655728,3.1723263,2,3,0,0,0,0
164,11,white,Black,-1.03,0.975,-0.104710445,0.05654249,-0.63240516,0.043479163,2.7561624,3.3082619,3,1,0,0,0,0
165,14,black,Black,0.465,-0.535,-0.6702688,0.37533838,-0.18712473,0.39780664,2.78111,3.0043716,2,3,0,0,0,0
166,9,white,Black,-0.525,0.48,-0.28549492,0.105485715,-0.41272295,0.118724436,2.356706,3.4553015,3,2,0,0,0,0
167,16,black,Black,0.46,-0.54,-0.2691452,0.16318446,-0.3822251,0.17256306,2.8942332,2.6414568,2,3,0,0,0,0
168,11,white,Black,-0.53,0.475,-0.30008885,0.054499988,-0.47829938,0.03790365,2.793742,3.1954703,3,2,0,0,0,0
169,5,white,Black,-1.015,0.99,-0.7788713,0.095714085,-0.3549138,0.05782527,2.5710433,3.2622235,3,1,0,0,0,0
170,21,white,Black,-0.555,0.45,-0.10264081,0.02954973,-0.42363012,0.042780194,2.730354,3.2684479,3,2,0,0,0,0
171,11,white,Black,-1.03,0.975,-0.08490725,0.14299491,-0.26918325,0.26157197,2.7509215,3.2548728,3,1,0,0,0,0
172,6,black,Black,0.985,-1.015,0.22124495,0.5808434,-0.2975483,0.5838067,3.0454273,2.8900032,1,3,0,0,0,0
173,9,white,Black,-1.025,0.98,-0.36073172,0.31094542,0.050462797,0.48862725,2.9024558,3.0698762,2,1,0,1,0,0
174,14,black,Black,0.465,-0.535,-0.49884003,0.66267586,-0.6526598,0.57359135,2.5741055,3.280096,2,3,0,0,0,0
175,7,white,Black,-0.52,0.485,-0.2552619,0.14243093,-1.1018618,0.10760393,2.8255818,2.8897793,3,2,0,0,0,0
176,13,white,Black,-0.535,0.47,-0.19444671,0.1341582,-0.046522863,0.13696659,2.9296176,2.9154522,3,2,0,0,0,0
177,16,black,Black,0.96,-1.04,-0.32621258,0.31539777,-0.56727165,0.25396776,3.2882652,2.5184646,1,3,0,0,0,0
178,11,white,Black,-0.53,0.475,-0.5261413,0.03730559,-0.2745962,0.038160294,2.3761656,3.3197162,3,2,0,0,0,0
179,14,black,Black,0.965,-1.035,0.026656091,0.6049934,-0.4885371,0.4524292,2.9874785,3.0272048,1,3,0,0,0,0
180,12,black,Black,0.47,-0.53,-0.23570707,0.25495195,0.07073416,0.21530293,2.6136467,2.8414414,2,3,0,0,0,0
181,7,white,Black,-1.02,0.985,-0.7767526,0.075622946,-0.107726984,0.017831352,2.4530678,3.4324925,3,1,0,0,0,0
182,13,white,Black,-0.535,0.47,-0.17771302,0.041798316,-0.4799962,0.08614435,2.8131695,3.1606338,3,2,0,0,0,0
183,8,black,Black,0.98,-1.02,-0.56344825,0.31005436,-0.48732844,0.22729765,3.2665753,2.6895576,1,3,0,0,0,0
184,7,white,Black,-0.52,0.485,-0.25438082,0.04021034,-0.5273161,0.0028197502,2.7631702,3.2217777,3,2,0,0,0,0
185,11,white,Black,-1.53,1.475,-0.37150818,0.40297434,-0.08852593,0.39644414,2.632843,3.5501053,3,0,0,0,0,0
186,13,white,Black,-1.035,0.97,-0.6559253,0.17654605,0.08051059,0.22512834,2.6271255,3.3268042,3,1,0,0,0,0
187,11,white,Black,-0.53,0.475,-0.21882614,0.018887015,-0.69412065,0.050144482,2.420551,2.9563973,3,2,0,0,0,0
188,16,black,Black,0.96,-1.04,-0.36953363,0.32871896,-0.35231984,0.18389015,3.0506592,2.6843882,1,3,0,0,0,0
189,7,white,Black,-0.52,0.485,-0.1670903,0.05389514,-0.76445,0.0567525,2.736969,2.8813446,3,2,0,0,0,0
190,9,white,Black,-1.025,0.98,-0.51954466,0.12326503,-0.24762164,0.22352086,2.4676707,3.1316752,3,1,0,0,0,0
191,9,white,Black,-0.525,0.48,-0.18169941,0.037728976,-0.3511408,0.006613055,2.6505973,3.042191,3,2,0,0,0,0
192,16,black,Black,0.46,-0.54,-0.206823,0.5437815,-0.4179759,0.51081204,2.6646152,3.1906686,2,3,0,0,0,0
193,16,black,Black,0.46,-0.54,-0.16120157,0.46490225,-0.69678503,0.45078504,2.2189815,2.868386,2,2,1,0,0,0
194,8,black,Black,1.48,-1.52,-0.2797781,0.78615665,-0.44909233,0.580207,3.0299144,2.9668033,0,3,0,0,0,0
195,11,white,Black,-0.53,0.475,-0.09341119,0.054299843,-0.17183863,0.06466421,2.703471,3.0947213,3,2,0,0,0,0
196,10,black,Black,0.475,-0.525,-0.061261147,0.13510486,-0.46553588,0.08993077,3.0721362,2.9035733,2,3,0,0,0,0
197,8,black,Black,0.48,-0.52,-0.31289583,0.0946518,-0.33151102,0.06271691,3.073447,2.8068953,2,3,0,0,0,0
198,13,white,Black,-0.535,0.47,-0.059501953,0.020596772,-0.034488797,0.060035273,2.9608939,3.3698566,3,2,0,0,0,0
199,8,black,Black,0.98,-1.02,-0.15556918,0.34500346,-0.53647596,0.211483,3.0860157,2.6615105,1,3,0,0,0,0
200,14,black,Black,0.965,-1.035,-0.1670796,0.7840303,-0.59187984,0.63526547,2.9709585,3.2398038,1,3,0,0,0,0
201,5,white,Black,-0.515,0.49,-0.7759195,0.028177416,-0.5183729,0.011227318,2.7133086,3.3515851,3,2,0,0,0,0
202,10,black,Black,0.975,-1.025,0.2366868,0.4809688,-0.6923152,0.33240262,3.1280499,2.9241562,1,3,0,0,0,0
203,12,black,Black,0.97,-1.03,-0.42025763,0.43576512,-0.76331645,0.40698668,3.0128963,2.9607441,1,3,0,0,0,0
204,13,white,Black,-1.035,0.97,-0.40142468,0.147169,0.05966118,0.14102066,2.7365494,3.476209,3,1,0,0,0,0
